,words,idf
105,changing,5.809142990314028
104,air,5.809142990314028
346,yourself,5.809142990314028
347,height,5.809142990314028
19,service,5.809142990314028
198,friends,5.809142990314028
199,support,5.809142990314028
18,8,5.809142990314028
244,root,5.809142990314028
276,both,5.809142990314028
103,m,5.809142990314028
277,six,5.809142990314028
102,formulate,5.809142990314028
98,interview,5.809142990314028
279,rules,5.809142990314028
278,reducing,5.809142990314028
99,random,5.809142990314028
245,waste,5.809142990314028
265,difficult,5.809142990314028
264,weather,5.809142990314028
381,thing,5.654992310486769
284,detailed,5.654992310486769
285,blockchain,5.654992310486769
44,but,5.654992310486769
180,takes,5.654992310486769
380,star,5.654992310486769
282,every,5.654992310486769
283,disadvantages,5.654992310486769
300,suppose,5.654992310486769
301,corresponding,5.654992310486769
181,classification,5.654992310486769
357,25,5.654992310486769
59,purpose,5.654992310486769
58,project,5.654992310486769
45,ask,5.654992310486769
356,card,5.654992310486769
8,time,5.654992310486769
9,business,5.654992310486769
165,effect,5.654992310486769
164,mathematical,5.654992310486769
15,examples,5.654992310486769
354,contain,5.654992310486769
355,interface,5.654992310486769
14,importance,5.654992310486769
275,self,5.521460917862246
220,assign,5.521460917862246
221,buy,5.521460917862246
297,regular,5.521460917862246
296,pronoun,5.521460917862246
234,plants,5.521460917862246
235,happy,5.521460917862246
274,general,5.521460917862246
237,brand,5.521460917862246
17,value,5.521460917862246
16,them,5.521460917862246
236,medical,5.521460917862246
78,increase,5.521460917862246
369,trends,5.521460917862246
63,haiku,5.521460917862246
320,let,5.521460917862246
368,3x,5.521460917862246
133,physical,5.521460917862246
132,prime,5.521460917862246
131,spelling,5.521460917862246
130,summarizing,5.521460917862246
174,sun,5.521460917862246
175,discuss,5.521460917862246
62,valid,5.521460917862246
79,instructions,5.521460917862246
321,alphabetical,5.521460917862246
190,musical,5.521460917862246
365,modify,5.521460917862246
364,guess,5.521460917862246
93,single,5.521460917862246
92,place,5.521460917862246
191,simile,5.521460917862246
359,film,5.403677882205863
80,team,5.403677882205863
145,computing,5.403677882205863
144,activity,5.403677882205863
81,remove,5.403677882205863
60,writing,5.403677882205863
61,state,5.403677882205863
68,return,5.403677882205863
358,distance,5.403677882205863
69,conversation,5.403677882205863
256,ethical,5.403677882205863
257,verbs,5.403677882205863
260,diet,5.403677882205863
370,meal,5.403677882205863
261,safety,5.403677882205863
182,starting,5.403677882205863
371,journey,5.403677882205863
231,applications,5.403677882205863
203,friendly,5.403677882205863
202,compute,5.403677882205863
379,catchy,5.403677882205863
378,visit,5.403677882205863
36,read,5.403677882205863
37,evaluate,5.403677882205863
183,power,5.403677882205863
223,fictional,5.403677882205863
230,colors,5.403677882205863
222,law,5.403677882205863
40,python,5.403677882205863
41,interesting,5.403677882205863
294,grammatical,5.298317366548036
154,environmental,5.298317366548036
197,combine,5.298317366548036
196,must,5.298317366548036
214,class,5.298317366548036
215,policy,5.298317366548036
155,highest,5.298317366548036
207,go,5.298317366548036
96,been,5.298317366548036
97,document,5.298317366548036
374,organization,5.298317366548036
108,school,5.298317366548036
109,role,5.298317366548036
114,dog,5.298317366548036
115,hypothesis,5.298317366548036
11,below,5.298317366548036
375,coffee,5.298317366548036
172,creating,5.298317366548036
173,parts,5.298317366548036
178,working,5.298317366548036
258,offer,5.298317366548036
259,amount,5.298317366548036
179,alternative,5.298317366548036
206,exercise,5.298317366548036
10,information,5.298317366548036
295,vegetables,5.298317366548036
293,know,5.203007186743712
335,consequences,5.203007186743712
334,career,5.203007186743712
367,base,5.203007186743712
366,companies,5.203007186743712
292,want,5.203007186743712
0,by,5.203007186743712
281,dinner,5.203007186743712
160,products,5.203007186743712
156,earth,5.203007186743712
153,decision,5.203007186743712
152,primary,5.203007186743712
151,american,5.203007186743712
150,recent,5.203007186743712
147,meaningful,5.203007186743712
146,letters,5.203007186743712
137,produce,5.203007186743712
136,maximum,5.203007186743712
135,errors,5.203007186743712
280,solving,5.203007186743712
129,conveys,5.203007186743712
128,names,5.203007186743712
119,night,5.203007186743712
118,pick,5.203007186743712
113,reword,5.203007186743712
112,spanish,5.203007186743712
95,our,5.203007186743712
94,warming,5.203007186743712
89,might,5.203007186743712
88,pollution,5.203007186743712
3,learning,5.203007186743712
2,all,5.203007186743712
157,painting,5.203007186743712
134,after,5.203007186743712
161,moon,5.203007186743712
1,classify,5.203007186743712
226,own,5.203007186743712
213,11,5.203007186743712
212,businesses,5.203007186743712
166,category,5.203007186743712
242,missing,5.203007186743712
243,around,5.203007186743712
227,longest,5.203007186743712
167,skills,5.203007186743712
273,lives,5.203007186743712
272,ocean,5.203007186743712
64,describing,5.115995809754082
65,healthcare,5.115995809754082
111,only,5.115995809754082
110,party,5.115995809754082
42,solve,5.115995809754082
43,science,5.115995809754082
54,human,5.115995809754082
91,fact,5.115995809754082
90,living,5.115995809754082
268,society,5.115995809754082
269,30,5.115995809754082
83,action,5.115995809754082
229,fill,5.115995809754082
71,top,5.115995809754082
55,characteristics,5.115995809754082
70,being,5.115995809754082
82,last,5.115995809754082
193,imperative,5.115995809754082
228,political,5.115995809754082
139,idiom,5.115995809754082
318,personal,5.115995809754082
319,circle,5.115995809754082
149,blue,5.115995809754082
192,multiple,5.115995809754082
143,perfect,5.115995809754082
142,timeline,5.115995809754082
141,start,5.115995809754082
140,define,5.115995809754082
148,15,5.115995809754082
138,stress,5.115995809754082
205,benefit,5.115995809754082
204,nature,5.115995809754082
208,500,5.115995809754082
209,square,5.115995809754082
107,50,5.035953102080546
22,6,5.035953102080546
23,passage,5.035953102080546
185,result,5.035953102080546
24,tweet,5.035953102080546
25,line,5.035953102080546
32,key,5.035953102080546
33,tips,5.035953102080546
38,response,5.035953102080546
39,voice,5.035953102080546
125,friend,5.035953102080546
184,19,5.035953102080546
52,piece,5.035953102080546
50,content,5.035953102080546
51,whether,5.035953102080546
53,y,5.035953102080546
186,funny,5.035953102080546
187,save,5.035953102080546
106,dish,5.035953102080546
124,logo,5.035953102080546
101,setting,5.035953102080546
72,think,5.035953102080546
73,internet,5.035953102080546
84,synonym,5.035953102080546
85,active,5.035953102080546
100,descriptive,5.035953102080546
