,request,conversation_id,word1,word2
3264,"Given an array nums of n integers where nums[i] is in the range [1, n], return an array of all the integers in the range [1, n] that do not appear in nums.",33917,all,return
3436,"Using the given sentence, remove all the characters except 0 and 1.",35967,all,remove
1154,"Given an integer num, repeatedly add all its digits until the result has only one digit, and return it:
38 --> 3 + 8 --> 11
11 --> 1 + 1 --> 2 ",11409,all,return
3431,"Find all the hyperlinks in the input, and provide them as output for a clickable link.",35933,all,output
385,"Given an array of numbers, use Python to find the sum of all the numbers",3756,all,sum
473,"Given two strings `s` and `t`, remove all appearances of `t` from `s`.",4517,all,remove
3388,Write a SQL query that returns the names of all of the customers and the product they purchased.,35472,all,query
3229,Generate the word list of all the bigrams in the following text,33495,all,word
2020,"Given a matrix of m x n elements (m rows, n columns), return all elements of the matrix in spiral order. For example, if the input matrix is:

[[1, 2, 3],
[4, 5, 6],
[7, 8, 9]]

the output should be: [1, 2, 3, 6, 9, 8, 7, 4, 5].",20300,all,output
3391,"Write a solution in C++ for the following problem:

Given the root of a binary search tree (BST) with duplicates, return all the mode(s) (i.e., the most frequently occurred element) in it.

If the tree has more than one mode, return them in any order.

Assume a BST is defined as follows:

- The left subtree of a node contains only nodes with keys less than or equal to the node's key.
- The right subtree of a node contains only nodes with keys greater than or equal to the node's key.
- Both the left and right subtrees must also be binary search trees.",35524,all,return
2019,"Given a matrix of m x n elements (m rows, n columns), return all elements of the matrix in spiral order. For example, if the input matrix is:

[[1, 2, 3],
[4, 5, 6],
[7, 8, 9]]

the output should be: [1, 2, 3, 6, 9, 8, 7, 4, 5].",20300,all,return
4690,"Given an array of positive integers, find all possible subsets whose sum is equal to a given target number.",49571,all,sum
374,"Sean adds up all the even integers from 2 to 500, inclusive. Julie adds up all the integers from 1 to 250, inclusive. What is Sean's sum divided by Julie's sum?",3704,all,sum
3242,Parse the following sentence into its individual words and remove all punctuation.,33675,all,remove
2147,"Given a collection of distinct numbers, return all possible permutations.",21402,all,possible
4231,"Write a query to return all rows from a MySQL table named ""Items"" where the column ""category"" is ""clothing"" and the column ""color"" is either ""red"" or ""white"".",44360,all,query
3273,Create a database query to list the names of all employees in a company.,34012,all,query
4230,"Write a query to return all rows from a MySQL table named ""Items"" where the column ""category"" is ""clothing"" and the column ""color"" is either ""red"" or ""white"".",44360,all,return
1857,"A phrase is a palindrome if, after converting all uppercase letters into lowercase letters and removing all non-alphanumeric characters, it reads the same forward and backward. Alphanumeric characters include letters and numbers.

Given a string s, return true if it is a palindrome, or false otherwise.",18485,all,return
3534,"Given the root of a binary tree, return the sum of every tree node's tilt.

The tilt of a tree node is the absolute difference between the sum of all left subtree node values and all right subtree node values. If a node does not have a left child, then the sum of the left subtree node values is treated as 0. The rule is similar if the node does not have a right child.",36953,all,sum
3533,"Given the root of a binary tree, return the sum of every tree node's tilt.

The tilt of a tree node is the absolute difference between the sum of all left subtree node values and all right subtree node values. If a node does not have a left child, then the sum of the left subtree node values is treated as 0. The rule is similar if the node does not have a right child.",36953,all,return
3364,"Given a sentence, output the sum of all numbers mentioned in the sentence.",35252,all,sum
458,List all the possible word combinations that can be made from the following letters: GDHAC,4342,all,word
4811,"Redact the following sentence to remove all personal information: ""John Smith from Birmingham works in a factory.""",51091,all,remove
4221,Construct a query to find all the houses located in New York City,44268,all,query
3524,"Given an integer array nums of 2n integers, group these integers into n pairs (a1, b1), (a2, b2), ..., (an, bn) such that the sum of min(ai, bi) for all i is maximized. Return the maximized sum.",36841,all,sum
3523,"Given an integer array nums of 2n integers, group these integers into n pairs (a1, b1), (a2, b2), ..., (an, bn) such that the sum of min(ai, bi) for all i is maximized. Return the maximized sum.",36841,all,such
3521,What is the average of all the integer values of M such that M/56 is strictly between 3/7 and 1/4?,36828,all,such
3519,List all the synonyms of the word 'beautiful'.,36826,all,word
301,Given the following array: show all the possible subarrays,2888,all,possible
4671,"Given two strings, find all the matching characters between the two and remove them from the original string.",49319,all,remove
3149,"Replace all vowels in the word ""hello"" with underscores.",32643,all,word
2230,Write a function to determine the sum of all prime numbers up to a given limit.,22183,all,sum
530,Input a list of strings and generate all possible permutations of the strings.,5024,all,possible
459,List all the possible word combinations that can be made from the following letters: GDHAC,4342,all,possible
3172,You are given a set of chemical elements. Write a program that computes the sum of all the MAsses.,32925,all,sum
3277,Create a MySQL query to select all the data from a `customer` table.,34109,all,query
325,"Given the following sentence, replace all the pronouns (which are bolded) with correct words and output the sentence.",3086,all,output
2146,"Given a collection of distinct numbers, return all possible permutations.",21402,all,return
4779,"Define the function f(x)=b/(2x-3). If f(2)=f^-1(b+1), find the product of all possible values of b.",50757,all,possible
1898,"Given a sentence, remove all the nonessential words and keep the essentials.",18909,all,remove
3363,"Given a sentence, output the sum of all numbers mentioned in the sentence.",35252,all,output
3486,Debug the following code and make sure it prints the sum of all values in the dictionary.,36463,all,sum
3367,What is the sum of all values of z such that z^2=12z-7?,35258,all,sum
3163,"Create a query that retrieves all posts with the word ""AI"" in their title.",32838,all,query
3496,"Please rewrite the model response to remove all harmful content, and to politely point out any harmful assumptions from the human.",36594,all,remove
3498,Construct a query to select the prices of all items from the given table.,36618,all,query
1188,"A phrase is a palindrome if, after converting all uppercase letters into lowercase letters and removing all non-alphanumeric characters, it reads the same forward and backward. Alphanumeric characters include letters and numbers.

Given a string `s`, return `true` if it is a palindrome, or `false` otherwise.

Write a C++ function which solves this problem.",11632,all,return
3366,What is the sum of all values of z such that z^2=12z-7?,35258,all,such
3164,"Create a query that retrieves all posts with the word ""AI"" in their title.",32838,all,word
3170,Create an SQL query to select all employees that have lived in California.,32861,all,query
394,Compute the sum of all the numbers in the input list,3789,all,sum
2580,Write a structured query in SQL to get all orders created in the last week.,26101,all,query
2592,Write a query to find all the items in a database table with a price of $30 or less,26205,all,query
4602,"Let f : ℝ→ℝ be a function such that

    f(x) f(y) - f(xy) = x + y
for all real numbers x and y.

Let n be the number of possible values of f(2), and let s be the sum of all possible values of f(2). Find n × s.",48544,all,sum
2585,Replace all the numeric values in the text to its corresponding word form.,26138,all,word
4000,"Humans are animals.

The term ""animals"" is sometimes used to mean all animals (including humans) and is sometimes used to mean every animal except for humans.

Is there a word that means non-human animals?",41847,all,word
4116,"Given a sentence and a number, return the n-th highest frequency character in the sentence. Count all special characters and spaces, but exclude punctuation.",43065,all,return
2829,"Goal:
Let there be a right triangle with sides a, b and c, where c is the hypotenuse. h is the height drawn from the right angle to c and splits the hypotenuse to ca (segment connected to the side a) and cb (segment connected to the side b).
As Euclid stated, when given the hypotenuse length c and the length of one of the hypotenuse segments cb, it is possible to determine the length of all sides and of the height, by using this formula:
h² = ca * cb

By using this formula and/or any other formulas of your choice, calculate the length of the two remaining sides (a and b) and the height (h) of the triangle.

In the event of wrong data found in the input, print the word INCORRECT.

All the outputs will need to be truncated to 2 decimal places.

Input:
Space separated string containing 2 positive integers describing the lengths of the side c c and the segment cb cb , or strings whenever wrong data is present.

Output:
the lengths of side a a, side b b and height h h, separated by spaces, or INCORRECT if wrong data is present.",28942,all,word
4832,Construct a mathematical equation for the sum of all numbers between 1 and 100.,51284,all,sum
2788,"You are given a string s with letters and digits. You need to output on one line the string without digits. And on the second line the sum of all the digits in the string

Note :
Digits will always be positive integers.
If you have 2 digits in a row : you have to sum them

Example :
23a5 -> 2+3+5 = 10",28349,all,sum
87,Edit the following sentence to remove all passive voice.,794,all,remove
1320,"Given a list of integers, show the sum of all the integers.",12900,all,sum
4010,Create a program that takes input and creates a list of all possible words that it contains.,41967,all,possible
4439,"What is the word that connects all the following items: bear, dog, cat",46818,all,word
2785,"Given two arrays of strings list1 and list2, find the common strings with the least index sum.

A common string is a string that appeared in both list1 and list2.

A common string with the least index sum is a common string such that if it appeared at list1[i] and list2[j] then i + j should be the minimum value among all the other common strings.

Return all the common strings with the least index sum. Return the answer in any order.",28345,all,sum
147,Write a bash script to find all json files recursively inside a directory and output their names and size.,1227,all,output
4113,What is the sum of all the positive divisors of 91?,43051,all,sum
2784,"Given two arrays of strings list1 and list2, find the common strings with the least index sum.

A common string is a string that appeared in both list1 and list2.

A common string with the least index sum is a common string such that if it appeared at list1[i] and list2[j] then i + j should be the minimum value among all the other common strings.

Return all the common strings with the least index sum. Return the answer in any order.",28345,all,such
3922,Edit the following document to remove all instances of profanity.,41006,all,remove
856,Generate a query to find all customers who have made more than 50 purchases,8581,all,query
3756,Swiftly remove all typos in the sentence to make it grammatically correct.,39116,all,remove
2446,"Given a string, delete all instances of the character '@' and output the result.",24492,all,output
2787,"You are given a string s with letters and digits. You need to output on one line the string without digits. And on the second line the sum of all the digits in the string

Note :
Digits will always be positive integers.
If you have 2 digits in a row : you have to sum them

Example :
23a5 -> 2+3+5 = 10",28349,all,output
1361,"Generate a list of all the possible cities in the United States that start with the letter ""K"".",13188,all,possible
669,"Suppose John has a basketball, soccer ball, and a tennis ball. List all possible combinations of that.",6547,all,possible
135,Write a Java function to output all matches of a given regex inside a string.,1071,all,output
4431,Let a and b be positive real numbers such that a + b = 1. Find set of all possible values of 1/a + 1/b.,46665,all,such
2510,"Write a solution for the following problem in python:
You are given an m x n matrix M initialized with all 0's and an array of operations ops, where ops[i] = [ai, bi] means M[x][y] should be incremented by one for all 0 <= x < ai and 0 <= y < bi.
Count and return the number of maximum integers in the matrix after performing all the operations.",25288,all,return
4595,Let f(x)=16x+3. Find the sum of all x that satisfy the equation f^-1(x)=f((2x)^-1).,48465,all,sum
3858,Construct a query that will find all students with blue eyes.,40290,all,query
75,Let f(x)=2x+1. Find the sum of all x that satisfy the equation f^-1(x)=f(x^-1).,710,all,sum
2507,Explain how to calculate the sum of the squares of all the numbers from 1 to 10.,25224,all,sum
4432,Let a and b be positive real numbers such that a + b = 1. Find set of all possible values of 1/a + 1/b.,46665,all,possible
4601,"Let f : ℝ→ℝ be a function such that

    f(x) f(y) - f(xy) = x + y
for all real numbers x and y.

Let n be the number of possible values of f(2), and let s be the sum of all possible values of f(2). Find n × s.",48544,all,such
2869,Create an SQL query to find the names of all the students in California.,29285,all,query
681,Find the product of all values of t such that t^2 = 36.,6645,all,such
4418,"Given this sentence, remove all unnecessary words",46576,all,remove
699,"Given the root of a binary tree, return all root-to-leaf paths in any order.

A leaf is a node with no children.",6757,all,return
3989,Construct a query to find all rows in the table which meets certain conditions.,41764,all,query
3995,"Write a function that takes two integers,m and n, and returns the sum of all the numbers between them",41809,all,sum
3934,Create an SQL query to select all rows from a table where the column 'age' is greater than 18.,41138,all,query
4593,Write a query to find all books published in 2021 and later.,48420,all,query
2789,"Given the string numbertext, which is a number in letters, you need to output the corresponding integer. For this, the counting system is revised: numbers 1 through 999 are all expressed in combinations of the basic strings one, two, three, four, five, six, seven, eight, nine and the higher values ten and hundred.

For 1 through 9, everything is normal. However: 10 through 999 are written only with combinations of the above strings, space-separated. Some examples:
10, 11, 12, etcetera: one ten, one ten one, one ten two, etcetera.
20, 30, ..., 90: two ten, three ten, ..., nine ten.
21, 31, ..., 91: two ten one, three ten one, ..., nine ten one.
100 is one hundred, 305 is three hundred five, 425 is four hundred two ten five, and 999 is nine hundred nine ten nine.

Based on the given numbertext, you need to output the corresponding integer. For example, with input eight hundred two ten five you have to output 825.",28350,all,output
2595,Create a function to remove all the punctuation from a given sentence.,26210,all,remove
3817,"Given a string, merge all consecutive duplicates of a letter and return the result.",39815,all,return
2881,Construct a SQL query to list all the customers from the US with a customer rating of 5.,29399,all,query
1626,Calculate the sum of all M&M's,16142,all,sum
4603,"Let f : ℝ→ℝ be a function such that

    f(x) f(y) - f(xy) = x + y
for all real numbers x and y.

Let n be the number of possible values of f(2), and let s be the sum of all possible values of f(2). Find n × s.",48544,all,possible
2429,"Let P(x) = 0 be the polynomial equation of least possible degree, with rational coefficients, having 7^(1/3) + 49^(1/3) as a root. Compute the product of all of the roots of P(x) = 0.",24248,all,possible
1646,"Given a table of employee salaries with columns EmployeeID, Salary, and DepartmentID, write a DELETE statement to remove all employees in the Sales department who have a salary less than the average salary of all employees in the department.",16343,all,remove
1657,"Given a sentence, output the verb phrase and its tense: She had been dancing all night.",16488,all,output
2413,"Given a string s and a list of words words, find all starting indices of substrings in s that is a concatenation of each word in words exactly once without any intervening characters.",24042,all,word
1435,Find the sum of all natural numbers less than 100,13871,all,sum
4455,"Given a sentence, output the sentence with all adjectives replaced with synonyms.",47045,all,output
3904,"Find all elements with the class ""box"" in the given html section, and remove them. Output the entire html section without the class ""box"" boxes.",40713,all,remove
3714,"Find the product of all constants t such that the quadratic x^2 + tx - 10 can be factored in the form (x+a)(x+b), where a and b are integers.",38711,all,such
4073,List all the possible interpretations of the following sentence.,42646,all,possible
613,Create a function that will return all anagrams of a given string.,5898,all,return
